2026-05-13 10:55:47.802 [info] I0513 10:55:47.801516 89086 server.go:1236] Starting language server process with pid 89086
2026-05-13 10:55:47.802 [info] I0513 10:55:47.802074 89086 server.go:301] Setting GOMAXPROCS to 4
2026-05-13 10:55:47.809 [info] I0513 10:55:47.809152 89086 server.go:440] Language server will attempt to listen on host 127.0.0.1
2026-05-13 10:55:47.810 [info] I0513 10:55:47.810209 89086 server.go:454] Language server listening on random port at 56344 for HTTPS (gRPC)
2026-05-13 10:55:47.810 [info] I0513 10:55:47.810374 89086 server.go:461] Language server listening on random port at 56345 for HTTP
2026-05-13 10:55:48.571 [info] I0513 10:55:48.571494 89086 server.go:433] Created extension server client at port 56343
2026-05-13 10:55:48.620 [info] I0513 10:55:48.620115 89086 cascade_manager.go:773] Reactive state is disabled
2026-05-13 10:55:48.671 [info] (Antigravity) 2026-05-13 10:55:48.671 [INFO]: Language server started
2026-05-13 10:55:48.699 [info] I0513 10:55:48.688735 89086 server.go:1693] initialized server successfully in 886.917542ms
2026-05-13 10:55:48.931 [info] (Antigravity) 2026-05-13 10:55:48.931 [INFO]: LS lspClient started successfully
2026-05-13 10:55:49.485 [info] I0513 10:55:49.484373 89086 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xd65790f26a682134
2026-05-13 10:55:49.977 [info] I0513 10:55:49.977697 89086 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x8bbca5af42a8d3
2026-05-13 10:55:50.587 [info] I0513 10:55:50.587446 89086 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x9ccf9731dcccd714
2026-05-13 11:01:49.450 [info] I0513 11:01:49.450114 89086 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x5d4e3cf164f0a7ae
2026-05-13 11:01:49.636 [info] I0513 11:01:49.636519 89086 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x86c5afad69801be3
2026-05-13 11:01:50.326 [info] I0513 11:01:50.325599 89086 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x2eed926fdf19980d
2026-05-13 11:07:49.311 [info] I0513 11:07:49.309171 89086 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x1982ed16a7d90a59
2026-05-13 11:07:49.504 [info] I0513 11:07:49.503605 89086 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x932d6907c4b3edba
2026-05-13 11:07:50.006 [info] I0513 11:07:50.005659 89086 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xe9c5af34d3178209
2026-05-13 11:10:49.508 [info] I0513 11:10:49.508178 89086 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xe04a7bee69f98685
2026-05-13 11:10:50.158 [info] I0513 11:10:50.158715 89086 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x9f49aeb368c151cd
2026-05-13 11:10:50.772 [info] I0513 11:10:50.772234 89086 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x7622556ce68a6c0f
