2026-05-14 06:04:47.403 [info] I0514 06:04:47.402705 27919 server.go:1236] Starting language server process with pid 27919
2026-05-14 06:04:47.403 [info] I0514 06:04:47.403625 27919 server.go:301] Setting GOMAXPROCS to 4
2026-05-14 06:04:47.406 [info] I0514 06:04:47.405686 27919 server.go:440] Language server will attempt to listen on host 127.0.0.1
2026-05-14 06:04:47.407 [info] I0514 06:04:47.406317 27919 server.go:454] Language server listening on random port at 57482 for HTTPS (gRPC)
2026-05-14 06:04:47.407 [info] I0514 06:04:47.406369 27919 server.go:461] Language server listening on random port at 57483 for HTTP
2026-05-14 06:04:48.054 [info] I0514 06:04:48.054326 27919 server.go:433] Created extension server client at port 57476
2026-05-14 06:04:48.090 [info] I0514 06:04:48.090465 27919 cascade_manager.go:773] Reactive state is disabled
2026-05-14 06:04:48.304 [info] (Antigravity) 2026-05-14 06:04:48.303 [INFO]: Language server started
2026-05-14 06:04:48.320 [info] I0514 06:04:48.320160 27919 server.go:1693] initialized server successfully in 916.995459ms
2026-05-14 06:04:48.613 [info] (Antigravity) 2026-05-14 06:04:48.613 [INFO]: LS lspClient started successfully
2026-05-14 06:04:48.919 [info] I0514 06:04:48.916149 27919 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xff242e0ddaa450a7
2026-05-14 06:04:49.622 [info] I0514 06:04:49.621199 27919 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xaad1b6b4ff524361
2026-05-14 06:04:50.085 [info] I0514 06:04:50.072395 27919 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0xd5fb731551b4a899
2026-05-14 06:10:49.117 [info] I0514 06:10:49.116907 27919 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x5636cf357809e7da
2026-05-14 06:10:49.346 [info] I0514 06:10:49.345970 27919 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x426ed538e1645ef2
